	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
F1104	180507.472597094	290775.913823503	123920.35424854	148184.43516284	137735.356890532	183793.509093951	190138.296241616	311359.850599167	215623.43063839	124711.265131977	178590.557168667	160153.111634478	284560.021067426	272243.505884355	203875.517207402	96700.59999804	84830.5993538285	118984.878586371
F1105	79221.9460059214	133894.755206281	136104.076154103	135557.058417267	64829.0567476152	180259.171074554	103120.893254712	170882.713027087	170137.430138191	119668.431041782	82058.9162212539	246576.557889132	167201.468237613	173459.7055714	114106.672262656	161398.963611777	118115.935233889	140207.905074089
F1106	100444.929404123	156911.470750313	154079.610793524	156268.284417422	68474.5628497241	122812.18955367	252688.170767034	310534.026510016	284041.083764293	277465.446491155	272840.927253844	150775.071742199	176631.91507203	137222.069029607	105908.190178772	102359.200572517	89188.8141749261	181083.462578744
F1107	152737.312529582	162780.306522672	148468.894016369	199855.547892324	271061.386706018	177573.374111716	123165.090614911	223660.128520946	310482.234054828	245529.612302605	162309.716973538	185044.706843914	211285.287498703	176422.300573342	164562.593318858	252053.44873496	182557.84634148	222272.543069201
F1108	61481.8192064694	95707.0993527439	150676.905984622	140771.123466068	185060.055569218	134334.176684094	100015.507173416	242743.476743559	171581.29437291	206144.67869237	121957.438312891	309918.761326292	185193.948115294	239989.386246956	168467.938495618	144589.316619001		134046.887582369
F1109	255589.515477958	280085.985224854	233562.3453807	309703.484539419	299855.603391343	264519.397089928	237268.905283178	186203.121860564	249990.696186179	226897.882100437	231593.525262266	293533.622642068	274967.826969135	225142.565993739	307863.076012746	288598.250637633	283724.583584312	278220.128144843
F1110	31337.4425959492	105462.969454029	35046.6231062182	19753.0322164848		112595.549922615	201674.263180889	309401.937201458	233226.52336368	206928.320524582	90318.6892240134	73964.32090026481	169861.02056263	194431.086160231	63307.8289049539	18536.5413823615		18765.9494238025
F1111	65905.4872998221	34178.3651905899	52380.4147867544	39759.8588536971	40525.5848513221	45623.196165346	48165.6866924064	111249.466954691	70958.7923801312	74940.6094470606	81570.3232225894	228980.706125019	212189.096686511	285389.549326529	309258.040709101	34736.6253424904	41712.943180852	41481.1084844771
F1112	164137.383154418	79481.6118102493	158495.675994755	128435.55531143	123935.556557866	126259.833277152	107261.432960704	200639.817022528	172693.107285865	213063.635897105	141350.216235348	268530.498601464	221679.6164091	218964.427147807	292820.595961585	141779.419307259	146528.712847558	138733.784443748
F1113	120523.635327318	187996.204238391	90230.4798376472	59602.7131649446	148529.616119241		191483.658696388	153080.545441594	131888.701106212	147779.336557358	190732.625648861	177480.612217761		93104.4006967426	149870.516346614	51759.5484340567	300665.139764132	200744.28715374
F1114	45019.6209137687	67650.9377784884	78106.4699999802	105776.141652062	120211.4886565	307938.454454894	37164.5460884025	180103.805613279	77192.8647650738	89292.3885522994	41243.1771630463	185850.593067908	77403.9416599616	89886.0186972373	74423.8843595546	90391.8552628365	92982.9315567634	134589.322160414
F1115	71804.2896142937		80712.6757452544	115066.268964965	66047.2148003179	87816.1890943386	59972.0129504906	261741.99103592	203543.968794186	114257.478024885	47951.8222647222	196475.653545312	165756.586037444	281498.479747323	122486.591282586	136076.263036021	74098.2283822003	104062.349141647
