(-)-AROMADENDRENE	Aromadendrene
(-)-ASBESTININE 2	Asbestinine
(-)-BETA-PHELLANDRENE	Phellandrene
(-)-BETA-PINENE	Pinene
(-)-BETA-SELINENE	selinene
(-)-BETA-THUJONE	thujone
(-)-BORNEOL	Borneol
(-)-CAMPHENE	Camphene
(-)-CARVOMENTHONE	Carvomenthone
(-)-CHIMONANTHINE	Chimonanthine
(-)-CIS-CHRYSANTHEMIC ACID	chrysanthemate
(-)-CIS-SABINOL	sabinol
(-)-CP 47,497	CP 47,497
(-)-DELTA-CADINENE	Cadinene
(-)-DELTA-SELINENE	selinene
(-)-DIHYDROCARVEOL	Dihydrocarveol
(-)-DRIMENOL	Drimenol
(-)-ENDO-ALPHA-BERGAMOTENE	Bergamotene
(-)-ENDO-FENCHOL	Fenchol
(-)-EPIGALLOCATECHIN 3'-GLUCURONIDE	Epigallocatechin glucuronide
(-)-EPIGALLOCATECHIN 3-GLUCURONIDE	Epigallocatechin glucuronide
(-)-EPIGALLOCATECHIN 7-GLUCURONIDE	Epigallocatechin glucuronide
(-)-ERYTHRO-(2R,3R)-DIHYDROXYBUTYLAMIDE	erythro-Dihydroxybutylamide
(-)-EXO-ALPHA-BERGAMOTENE	Bergamotene
(-)-GAMMA-CADINENE	Cadinene
(-)-GERMACRENE D	Germacrene
(-)-GUAIA-6,9-DIENE	guaia-diene
(-)-HELVOLIC ACID	Helvolate
(-)-ISOCOMENE	Isocomene
(-)-ISOPINOCAMPHONE	Isopinocamphone
(-)-ISOPULEGOL	Isopulegol
(-)-ISOROTUNDENE	Isorotundene
(-)-JAMINE	Jamine
(-)-KANSHONE A	Kanshone
(-)-LIMONENE	Limonene
(-)-LINALOOL	Linalool
(-)-LONGIFOLENE	longifolene
(-)-MALYNGOLIDE	Malyngolide
(-)-MENTHONE	Menthone
(-)-MENTHYL ACETATE	Menthyl acetate
(-)-MODHEPHENE	Modhephene
(-)-MYRTENYL ISOVALERATE	Myrtenyl isovalerate
(-)-NOPOL	Nopol
(-)-PACIFIGORGIOL	Pacifigorgiol
(-)-PERILLYL ALCOHOL	Perillyl alcohol
(-)-PINOCAMPHEOL	Pinocampheol
(-)-PINOCAMPHONE	Pinocamphone
(-)-PREZIZAANOL	Prezizaanol
(-)-PULEGONE	Pulegone
(-)-SABINENE	sabinene
(-)-SATIVAN	Sativan
(-)-SESQUICARENE	Sesquicarene
(-)-SPIROLEPECHINENE	Spirolepechinene
(-)-TAMARISCENE	Tamariscene
(-)-TAMARISCOL	Tamariscol
(-)-THUJOPSENE	Thujopsene
(-)-TORTUOSAMINE	Tortuosamine
(-)-TRANS-CARVEOL	Carveol
(-)-TRANS-ISOPIPERITENOL	Isopiperitenol
(-)-TRANS-ISOPULEGONE	Isopulegone
(-)-TRANS-M-MENTH-8-EN-1-OL	Menth-en-ol
(-)-TRANS-PINOCARVEOL	Pinocarveol
(-)-VALERANONE	Valeranone
(-)N-(1R-METHYL-PROPYL) ARACHIDONOYL AMINE	(methyl-propyl) arachidonoyl amine
(-)TAN-67	TAN-67
(1(10)E,4A,5E)-1(10),5-GERMACRADIENE-12-ACETOXY-4,11-DIOL	Germacradiene-acetoxy-diol
(10)-GINGEROL	Gingerol
(10AS)-10,10A-DIHYDROPHENAZINE-1-CARBOXYLATE	Dihydrophenazine-carboxylate
(10E)-19-FLUORO-1ALPHA,25-DIHYDROXYVITAMIN D3	fluoro-dihydroxyvitamin D3
(10Z)-19-FLUORO-1ALPHA,25-DIHYDROXYVITAMIN D3	fluoro-dihydroxyvitamin D3
(17Z)-3,11-DIOXOPREGNA-4,17(20)-DIEN-21-OIC ACID METHYL ESTER	Dioxopregna-dien-oate methyl ester
(1ALPHA,3BETA,20S,22R,24S,25S)-PUBESCENIN	Pubescenin
(1ALPHA,4BETA,5BETA)-4-HYDROXY-7(11),10(14)-GUAIADIEN-8-ONE	Hydroxy-guaiadien-one
(1BETA,2BETA,5BETA)-P-MENTH-3-ENE-1,2,5-TRIOL	Menth-ene-triol
(1BETA,4ALPHA,5ALPHA,6BETA,8ALPHA,10B)-1,10:4,5-DIEPOXY-6-HYDROXY-7(11)-GERMACREN-12,8-OLIDE	1,10:4,5-Diepoxy-hydroxy-germacren-olide
(1BETA,4ALPHA,5BETA,6ALPHA,7ALPHA)-9-AROMADENDRENE	Aromadendrene
(1E)-1-(4-HYDROXY-3-METHOXYPHENYL)DEC-1-EN-3-ONE	(hydroxy-methoxyphenyl)dec-en-one
(1E,4S,5E,7R)-GERMACRA-1(10),5-DIEN-11-OL	Germacra-dien-ol
(1E,4Z)-GERMACRENE B	germacrene
(1E,4Z,6A,8B,10A)-8-(2-METHYLBUTANOYLOXY)-10,15-DIHYDROXY-3-OXO-1,4,11(13)-GERMACRATRIEN-12,6-OLIDE	(Methylbutanoyloxy)-dihydroxy-oxo-germacratrien-olide
(1E,4Z,6A,8B,10A)-8-ANGELOYLOXY-10,15-DIHYDROXY-3-OXO-1,4,11(13)-GERMACRATRIEN-12,6-OLIDE	Angeloyloxy-dihydroxy-oxo-germacratrien-olide
